"ID","Gestartet am","Zuletzt aktualisiert am","Status","Collector","Sprache","IP-Adresse","Gerät","What is your gender?","What is your age?","What is your main profession?","Do you deal a lot with computers / IT?","Would you call the Amper AI ""creative""?","Would you call the DeepBach AI ""creative""?","First of all, do you agree with this definition of ""creativity""?","After reading the above definition of creativity, would you call the Amper AI ""creative""?","After reading the above definition of creativity, would you call the DeepBach AI ""creative""?"
"59834511","21.07.2022 18:06:37","21.07.2022 18:11:02","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","56","I work","No","Yes","Yes","Yes","Yes","Yes"
"59831572","21.07.2022 16:29:32","21.07.2022 16:35:11","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","59","I work","No","No","No","Yes","No","No"
"59828039","21.07.2022 14:48:35","21.07.2022 14:51:55","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","59","I work","No","Yes","Yes","Yes","No","No"
"59827519","21.07.2022 14:32:06","21.07.2022 14:35:02","Abgeschlossen","Survey Link 1","-","-","Mobile","Something else","23","I study","Yes","No","Yes","Yes","Yes","Yes"
"59825257","21.07.2022 13:12:33","21.07.2022 13:17:42","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","31","Something else","No","No","No","Yes","No","No"
"59824934","21.07.2022 13:01:15","21.07.2022 13:04:32","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","18","I go to school","Yes","No","No","Yes","No","No"
"59823704","21.07.2022 12:11:31","21.07.2022 12:30:47","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","20","I study","Yes","","","","",""
"59823672","21.07.2022 12:10:00","21.07.2022 12:11:29","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","19","I study","Yes","Yes","No","No","No","No"
"59822744","21.07.2022 11:36:03","21.07.2022 11:38:36","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","25","I study","Yes","Yes","No","Yes","Yes","No"
"59822256","21.07.2022 11:18:23","21.07.2022 11:21:58","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","30","I work","No","No","No","No","Yes","No"
"59822185","21.07.2022 11:15:23","21.07.2022 11:17:43","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","21","I study","Yes","No","Yes","Yes","Yes","Yes"
"59821122","21.07.2022 10:35:31","21.07.2022 10:35:55","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Desktop","","","","","","","","",""
"59820969","21.07.2022 10:30:25","21.07.2022 10:32:14","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","33","I work","Yes","No","No","Yes","No","No"
"59820794","21.07.2022 10:23:55","21.07.2022 10:26:57","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","23","I study","Yes","No","No","No","No","No"
"59820550","21.07.2022 10:14:57","21.07.2022 10:28:26","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","26","Something else","Yes","Yes","Yes","Yes","Yes","Yes"
"59820260","21.07.2022 10:03:23","21.07.2022 10:05:55","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","19","I study","Yes","Yes","No","Yes","No","No"
"59820228","21.07.2022 10:01:55","21.07.2022 10:02:26","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Male","34","I work","Yes","","","","",""
"59820216","21.07.2022 10:01:26","21.07.2022 10:04:17","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","21","I study","Yes","Yes","No","Yes","Yes","No"
"59820118","21.07.2022 09:58:00","21.07.2022 09:58:15","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","24","I study","Yes","","","","",""
"59819669","21.07.2022 09:39:54","21.07.2022 09:40:03","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","","","","","","","","",""
"59819597","21.07.2022 09:36:44","21.07.2022 09:45:03","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","22","I study","Yes","No","No","No","Yes","Yes"
"59819151","21.07.2022 09:17:27","21.07.2022 09:18:39","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","21","I study","Yes","No","No","Yes","Yes","Yes"
"59819132","21.07.2022 09:16:43","21.07.2022 09:17:28","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","20","I study","No","","","","",""
"59818961","21.07.2022 09:08:34","21.07.2022 09:09:04","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Male","23","I study","No","","","","",""
"59818955","21.07.2022 09:08:12","21.07.2022 09:10:09","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","59","I work","Yes","Yes","Yes","Yes","Yes","Yes"
"59818946","21.07.2022 09:07:46","21.07.2022 09:14:19","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","24","I study","Yes","No","No","No","No","No"
"59818655","21.07.2022 08:55:06","21.07.2022 08:55:31","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","35","I study","Yes","","","","",""
"59818197","21.07.2022 08:31:00","21.07.2022 08:31:44","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","22","I work","Yes","","","","",""
"59818118","21.07.2022 08:26:59","21.07.2022 08:27:17","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","21","I study","No","","","","",""
"59817901","21.07.2022 08:16:44","21.07.2022 08:17:02","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","23","I study","Yes","","","","",""
"59817674","21.07.2022 08:04:04","21.07.2022 08:07:56","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","28","I study","Yes","No","No","No","No","Yes"
"59817544","21.07.2022 07:54:38","21.07.2022 07:58:46","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","31","I study","Yes","No","No","","",""
"59817425","21.07.2022 07:47:47","21.07.2022 07:48:29","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","20","I work","No","Yes","Yes","Yes","Yes","Yes"
"59804111","20.07.2022 18:54:31","20.07.2022 18:54:48","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","","","","","","","","",""
"59797591","20.07.2022 15:09:25","20.07.2022 15:15:45","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","58","I work","Yes","Yes","No","Yes","Yes","No"
"59797053","20.07.2022 14:52:44","21.07.2022 07:34:24","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","22","I study","Yes","Yes","Yes","Yes","Yes","Yes"
